coords,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
"(-163.25, 64.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8738507448945299
"(-163.25, 65.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.25, 65.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.25, 66.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14319705322446788
"(-163.25, 67.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8849963249555799
"(-163.25, 67.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.25, 68.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.25, 68.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.25, 69.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6742536979144731
"(-163.25, 69.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13676760912605504
"(-162.75, 54.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08360175865540875
"(-162.75, 54.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06129937580740741
"(-162.75, 55.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44790513206365595
"(-162.75, 55.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012365468313738502
"(-162.75, 59.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09722905940456812
"(-162.75, 60.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998206243274055
"(-162.75, 60.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-162.75, 61.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-162.75, 61.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-162.75, 62.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-162.75, 62.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-162.75, 63.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41287312661261943
"(-162.75, 63.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054868037269442595
"(-162.75, 64.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12057944827912216
"(-162.75, 64.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9754533152348989
"(-162.75, 65.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-162.75, 65.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-162.75, 66.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13982172610049806
"(-162.75, 66.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05267914692336066
"(-162.75, 67.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570758173958269
"(-162.75, 67.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
